objectid,parentid,filename,title,format,date,subject,location,publisher,description,rights
camh-dob-030003,,,Issue camh-dob-030003 — 1867-02-21,compound_object,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; African Americans--Suffrage; Johnson, Andrew, 1808-1875; Stevens, Thaddeus, 1792-1868; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Washington (D.C.)--Capitol Hill; Mississippi River,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a copy or discussion of the Military Reconstruction Bill and political commentary about Reconstruction; African American suffrage and opposition to the Radical Republicans; telegraphic market reports and national and international dispatches. Researchers may find attitudes toward African Americans and Radical Republicans useful for understanding the Reconstruction Era.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030003_0001,camh-dob-030003,camh-dob-030003_0001.jpg,camh-dob-030003 — page 1 — 1867-02-21,image/jpeg,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; Stocks; http://id.worldcat.org/fast/1133704; Johnson, Andrew, 1808-1875; Personal; viaf; https://viaf.org/en/viaf/73872723; Stevens, Thaddeus, 1792-1868; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Washington (D.C.)--Capitol Hill; http://id.worldcat.org/fast/1322860; New York (State)--New York,"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; regional, national, and international news; stock information; and advertisements. Notable articles include President Johnson's reaction to a civil rights violation; House debate about Provisional governments and the Army Appropriation Bill; and a ship leaving Calcutta for Boston abandoned. Researchers may find the discussion of Reconstruction useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030003_0002,camh-dob-030003,camh-dob-030003_0002.jpg,camh-dob-030003 — page 2 — 1867-02-21,image/jpeg,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; African Americans--Suffrage; http://id.worldcat.org/fast/974633; Begley, Barney; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Mississippi River; Kentucky--Louisville,"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; advertisements. Notable articles include river news and coverage of Mississippi River commerce and conventions; steamboat schedules and departures; local notices and theft and reward announcements; agricultural advice on the use of manures and guano; and political commentary referencing Radical Republicans and African American suffrage. Researchers may find the discussion of Reconstruction useful for understanding the continuing tension between the North and the South during the Reconstruction Era; and attitudes toward African American suffrage useful for understanding persistent racism in the South during the Reconstruction Era.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030003_0003,camh-dob-030003,camh-dob-030003_0003.jpg,camh-dob-030003 — page 3 — 1867-02-21,image/jpeg,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; Freemasonry; http://id.worldcat.org/fast/1014893; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Louisiana--New Orleans; http://id.worldcat.org/fast/1204311; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006,,,Issue camh-dob-030006 — 1867-02-26,compound_object,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Military occupation; http://id.worldcat.org/fast/995678; Politics and government; http://id.worldcat.org/fast/1919741; Brown, Joseph E. (Joseph Emerson), 1821-1894; Personal; viaf; http://viaf.org/viaf/55601893; Seward, Frederick William, 1830-1915; http://viaf.org/viaf/77754769; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Louisiana--New Orleans; http://id.worldcat.org/fast/1204311,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a detailed summary of the Military Bill, which divided the South into military districts and was the first of the Military Reconstruction Acts; and political commentary opposing the bill. Researchers may find the frequent discussions of the Military Bill useful for understanding Southern perceptions of the military presence of the South in the Reconstruction Era and resentment toward Radical Republicans.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006_0001,camh-dob-030006,camh-dob-030006_0001.jpg,camh-dob-030006 — page 1 — 1867-02-26,image/jpeg,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Politics and government; http://id.worldcat.org/fast/995678; Slave trade; http://id.worldcat.org/fast/1120405; Brown, Joseph E. (Joseph Emerson), 1821-1894; Personal; viaf; http://viaf.org/viaf/55601893; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Louisiana--New Orleans; http://id.worldcat.org/fast/1204311; West Indies,"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information; regional, national, and international news; human-interest stories; and advertisements. Notable articles include a summary of the Military Bill, which would divide the former Confederate states into five military districts and set new qualifications for voting; and a dispatch from New York that reports the importation of indentured laborers has made the illegal slave trade unprofitable in the West Indies. Researchers may find the discussion of the Military Bill useful for understanding Southern perceptions of the military presence in the South in the Reconstruction Era and resentment toward Radical Republicans.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006_0002,camh-dob-030006,camh-dob-030006_0002.jpg,camh-dob-030006 — page 2 — 1867-02-26,image/jpeg,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Legislation--U.S. states; http://id.worldcat.org/fast/995678; Politics and government; http://id.worldcat.org/fast/1919741; Seward, Frederick William, 1830-1915; Personal; viaf; http://viaf.org/viaf/77754769; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Mississippi; http://id.worldcat.org/fast/1207034; Dominican Republic; http://id.worldcat.org/fast/1206148,"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include political commentary about the passage of the Military Bill and the conversion of Mississippi into a Territory; and a report on the failure of a secret mission involving Frederick Seward to purchase the island of St. Domingo for the United States. Researchers may find attitudes toward the Military Bill useful for understanding Southern Democrats' views on Reconstruction.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006_0003,camh-dob-030006,camh-dob-030006_0003.jpg,camh-dob-030006 — page 3 — 1867-02-26,image/jpeg,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030008,,,Issue camh-dob-030008 — 1867-02-28,compound_object,1867-02-28,"Reconstruction (U.S. history, 1865-1877); African Americans--Suffrage; Politics and government; Johnson, Andrew, 1808-1875; Stevens, Thaddeus, 1792-1868; Newspapers",Mississippi--Vicksburg; Washington (D.C.); Louisiana--New Orleans,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a copy of The Military Bill as well as political commentary about Reconstruction, African American suffrage, and opposition to the Radical Republicans. Researchers may find the discussion of Radical Republicans and Reconstruction useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War; and attitudes toward African American suffrage useful for understanding persistent racism in the South during Reconstruction.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030008_0001,camh-dob-030008,camh-dob-030008_0001.jpg,camh-dob-030008 — page 1 — 1867-02-28,image/jpeg,1867-02-28,"Reconstruction (U.S. history, 1865-1877); Politics and government; Military history; Johnson, Andrew, 1808-1875; Paxton, R. E.; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information; regional, national, and international news; human-interest stories; and advertisements. Notable articles include a copy of the Military Bill, and comments about other Congressional activities. Researchers may find the copy of the Military Bill useful for understanding post-Civil War U.S. military history.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030008_0002,camh-dob-030008,camh-dob-030008_0002.jpg,camh-dob-030008 — page 2 — 1867-02-28,image/jpeg,1867-02-28,"Reconstruction (U.S. history, 1865-1877); African Americans--Suffrage; Politics and government; Stevens, Thaddeus, 1792-1868; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include comments on how many states are in the Union, the Reconstruction Bill, African American suffrage, other Congressional activities. Researchers may find the comments about how many states are in the Union as well as the discussion of Radical Republicans and Reconstruction useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War; and attitudes toward African American suffrage useful for understanding persistent racism in the South during Reconstruction.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030008_0003,camh-dob-030008,camh-dob-030008_0003.jpg,camh-dob-030008 — page 3 — 1867-02-28,image/jpeg,1867-02-28,"Reconstruction (U.S. history, 1865-1877); Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030011,,,Issue camh-dob-030011 — 1867-03-03,compound_object,1867-03-03,"Reconstruction (U.S. history, 1865-1877); Politics and government; Military occupation; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Washington (D.C.)--Capitol Hill; Alabama--Selma,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include comments about military rule; the President working on a veto of the Military Bill; comments about impeachment proceedings; news that the Educational Bureau Bill passed; and political commentary opposed to granting married women property rights. Researchers may find discussion of the Military Bill and comments about impeachment useful for understanding the President’s opposition to the Military Bill and the impeachment proceedings launched against him by the Republicans; the mention of the Educational Bureau Bill useful for contextualizing the history of public education in the United States; and the comments about women owning property useful for understanding contemporary attitudes toward women.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030011_0001,camh-dob-030011,camh-dob-030011_0001.jpg,camh-dob-030011 — page 1 — 1867-03-03,image/jpeg,1867-03-03,"Reconstruction (U.S. history, 1865-1877); Military occupation; Politics and government; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Alabama--Selma,"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; regional, national, and international news; stock information; human-interest stories; and advertisements. Notable articles include speculation that the President was working on the veto of the Military Bill and in coordination with the Attorney General; news about the impeachment committee; news that the Educational Department Bill was passed; comments about an amendment to the Military Bill that would disband the militias of each southern state; and other congressional news. Researchers may find discussion of the Military Bill and comments about impeachment useful for understanding the President’s opposition to the Military Bill and the impeachment proceedings against him launched by the Republicans; and the mention of the Educational Bureau Bill useful for contextualizing the history of public education in the United States.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030011_0002,camh-dob-030011,camh-dob-030011_0002.jpg,camh-dob-030011 — page 2 — 1867-03-03,image/jpeg,1867-03-03,"Reconstruction (U.S. history, 1865-1877); Politics and government; Women--Legal status, laws, etc.; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Washington (D.C.)--Capitol Hill,"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include political commentary opposed to granting married women property rights and hope that the Supreme Court will correct the perceived injustice inflicted upon the Democratic minority by the Republican majority in Congress. Researchers may find the comments about women owning property useful for understanding contemporary attitudes toward women; and the discussion of Radical Republicans useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030011_0003,camh-dob-030011,camh-dob-030011_0003.jpg,camh-dob-030011 — page 3 — 1867-03-03,image/jpeg,1867-03-03,"Reconstruction (U.S. history, 1865-1877); Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030012,,,Issue camh-dob-030012 — 1867-03-05,compound_object,1867-03-05,"Reconstruction (U.S. history, 1865-1877); Politics and government; Criminal investigation; Sherman, John; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include the passing of the Military Reconstruction Acts (referred to as Sherman's Bill) in phases, the revival of military law in Mobile, Alabama, and local criminal activity. Researchers may find the two articles about the Military Reconstruction Acts useful for understanding the timeline of the Military Reconstruction Acts and the reunification of the Southern military into the Union; the article about revival of military law in Mobile might be found useful due to how it highlights the state of former Confederate soldiers in post-war Alabama.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030012_0001,camh-dob-030012,camh-dob-030012_0001.jpg,camh-dob-030012 — page 1 — 1867-03-05,image/jpeg,1867-03-05,"Reconstruction (U.S. history, 1865-1877); Politics and government; Criminal investigation; Sherman, John; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; regional, national, and international news; stock information; and advertisements. Notable articles include a notice that Sherman's Bill has passed to the desk of the president; and the arrest of a man named Stephens who was posing as a milk-woman. Researchers may find the article regarding Sherman's bill useful for understanding the first Military Reconstruction Act during the early stages of readmitting the Southern States into the Union.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030012_0002,camh-dob-030012,camh-dob-030012_0002.jpg,camh-dob-030012 — page 2 — 1867-03-05,image/jpeg,1867-03-05,"Reconstruction (U.S. history, 1865-1877); Politics and government; Social legislation; Sherman, John; Newspapers",Mississippi--Vicksburg; Alabama--Mobile,"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include the revival of military law in Mobile and a new update regarding the Military Reconstruction Acts. Researchers may find the article regarding the revival of military law useful for understanding contemporary thoughts of the state of former Confederate soldiers in Alabama during the Reconstruction era.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030012_0003,camh-dob-030012,camh-dob-030012_0003.jpg,camh-dob-030012 — page 3 — 1867-03-05,image/jpeg,1867-03-05,"Reconstruction (U.S. history, 1865-1877); Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030014,,,Issue camh-dob-030014 — 1867-03-07,compound_object,1867-03-07,"Reconstruction (U.S. history, 1865-1877); African Americans--Suffrage; Politics and government; Brownlow, William Gannaway, 1805-1877; Newspapers",Mississippi--Vicksburg; Tennessee--Nashville,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include thoughts on Brownlow's suffrage Law works in relation with white voting and bills for war reparations being passed through Congress. Researchers may find the article on African American suffrage useful for understanding persistent racism and the perpetuation of the Lost Cause mythology in the South during Reconstruction.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030014_0001,camh-dob-030014,camh-dob-030014_0001.jpg,camh-dob-030014 — page 1 — 1867-03-07,image/jpeg,1867-03-07,"Reconstruction (U.S. history, 1865-1877); African Americans--Suffrage; Voter registration; Brownlow, William Gannaway, 1805-1877; Newspapers",Mississippi--Vicksburg; Tennessee--Nashville,"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; regional, national, and international news; stock information; and advertisements. Notable articles include How Brownlow's Suffrage Law Works, which places the African American porter as the punchline to a joke now that he has the right to vote. Researchers may find attitudes toward African American suffrage useful for understanding persistent racism in the South during the Reconstruction Era.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030014_0002,camh-dob-030014,camh-dob-030014_0002.jpg,camh-dob-030014 — page 2 — 1867-03-07,image/jpeg,1867-03-07,"Reconstruction (U.S. history, 1865-1877); War reparations; Politics and government; United States. Congress; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include city council proceedings and the passing of a bill disregarding the States that seceded from the Union as part of the Union from the House of Representatives to the Senate; this bill was pushed by a man named Thaddeus Stevens. Researchers may find this useful for understanding relations between the Northern and Southern States in the immediate aftermath of the American Civil War.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030014_0003,camh-dob-030014,camh-dob-030014_0003.jpg,camh-dob-030014 — page 3 — 1867-03-07,image/jpeg,1867-03-07,"Reconstruction (U.S. history, 1865-1877); Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030015,,,Issue camh-dob-030015 — 1867-03-08,compound_object,1867-03-08,"Reconstruction (U.S. history, 1865-1877); War reparations; African Americans--Suffrage; United States. Congress; Newspapers",Mississippi--Vicksburg; Louisiana--Alexandria,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include the contesting of the African American vote in Alexandria, Louisiana and war reparations being passed in Congress. Researchers may find this issue useful for understanding congressional reparations being passed in the aftermath of the American Civil War and how African American voters were treated in the South.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030015_0001,camh-dob-030015,camh-dob-030015_0001.jpg,camh-dob-030015 — page 1 — 1867-03-08,image/jpeg,1867-03-08,"Reconstruction (U.S. history, 1865-1877); War reparations; Politics and government; United States. Congress; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; regional, national, and international news; stock information; and advertisements. Notable articles include a telegraphic news article that states that the African American vote has been taken separately from the white vote and will be contested, in addition to the passing of a bill repudiating debts due to Southern men who sided with the confederacy. Researchers may find this useful for understanding African American Suffrage and voter's rights in addition to the perpetuation of Lost Cause mythology in conjunction with war reparations.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030015_0002,camh-dob-030015,camh-dob-030015_0002.jpg,camh-dob-030015 — page 2 — 1867-03-08,image/jpeg,1867-03-08,"Reconstruction (U.S. history, 1865-1877); War reparations; Politics and government; United States. Congress; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains regional and national news; human-interest stories; notices and rewards; and advertisements. Notable articles include a bill repudiating debts due to Southern men who sided with the confederacy having been passed by both houses, a speculative piece on how the South will proceed in the aftermath of the war, and the proceedings of the Merchants' meeting. Researchers may find the article about repudiating debts useful for understanding reparations in the South after the American Civil War.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030015_0003,camh-dob-030015,camh-dob-030015_0003.jpg,camh-dob-030015 — page 3 — 1867-03-08,image/jpeg,1867-03-08,"Reconstruction (U.S. history, 1865-1877); Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030018,,,Issue camh-dob-030018 — 1867-03-12,compound_object,1867-03-12,"Reconstruction (U.S. history, 1865-1877); Military occupation; Lost Cause mythology; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Washington (D.C.); Mississippi--Claiborne County,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include commentary about the Military Bill and appointing generals to each district in the South to register voters; a letter to the editor expressing anxiety about the Military Bill; factionalism in Congress; how liberty as championed by the South is under threat by a tyrannical legislature; and how the Supreme Court and President will hopefully stop Congress' plans as proposed in the Military Bill. Researchers may find the discussion of the Military Bill useful for understanding southern perceptions of the military presence in the South during the Reconstruction Era; the letter to the editor about the Military Bill useful for understanding perpetuation of Lost Cause mythology in the South during Reconstruction.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030018_0001,camh-dob-030018,camh-dob-030018_0001.jpg,camh-dob-030018 — page 1 — 1867-03-12,image/jpeg,1867-03-12,"Reconstruction (U.S. history, 1865-1877); Military occupation; Politics and government; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information; regional, national, and international news; human-interest stories; and advertisements. Notable articles include the paper’s stated political stance; commentary about the Military Bill and appointing generals to each district in the South to register voters; comments about more suffering in the South as appropriations were all for loyalists and freedmen; and disparaging remarks about Radical Republicans’ policies. Researchers may find the discussion of the Military Bill useful for understanding Southern perceptions of the military presence in the South during the Reconstruction Era, and the discussion of Radical Republicans useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030018_0002,camh-dob-030018,camh-dob-030018_0002.jpg,camh-dob-030018 — page 2 — 1867-03-12,image/jpeg,1867-03-12,"Reconstruction (U.S. history, 1865-1877); Military occupation; Liberty; Johnson, Andrew, 1808-1875; Newspapers",Mississippi--Vicksburg; Mississippi--Claiborne County; Tennessee--Memphis,"Shannon, Harvey","Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include a letter to the editor expressing anxiety about the Military Bill, factionalism in Congress, how liberty as championed by the South is under threat by a tyrannical legislature, and how the Supreme Court and President will hopefully stop Congress' plans as proposed in the Military Bill. Researchers may find the discussion of railroad business useful for understanding dynamics of the railroad industry during the Reconstruction Era, and the letter to the editor about the Military Bill useful for understanding the perpetuation of Lost Cause mythology in the South during Reconstruction.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030018_0003,camh-dob-030018,camh-dob-030018_0003.jpg,camh-dob-030018 — page 3 — 1867-03-12,image/jpeg,1867-03-12,"Reconstruction (U.S. history, 1865-1877); Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
